round,pick,slot,player,pos,pos_rank,team,bye,composite,adp,p_available,proj,vbd,boom,bust,risk,situation,playoff_sos_rank,score
2,17,1,Nico Collins,WR,9,HOU,8,20.0,23.7,1.0,248,57,75,13,51,74,26,-2.661
2,17,2,George Pickens,WR,10,DAL,14,22.6,24.7,1.0,252,61,59,21,36,53,13,-2.763
2,17,3,Drake London,WR,7,ATL,11,16.3,18.2,0.93,273,82,69,60,99,37,12,-2.967
2,17,4,A.J. Brown,WR,8,NE,11,18.1,19.9,0.91,246,55,81,76,77,78,29,-3.006
3,24,1,George Pickens,WR,10,DAL,14,22.6,24.7,0.75,252,61,59,21,36,53,13,-2.96
3,24,2,DeVonta Smith,WR,14,PHI,10,30.1,33.4,1.0,227,36,95,17,37,85,30,-3.027
3,24,3,Brock Bowers,TE,1,LV,13,20.8,26.3,0.51,231,60,93,47,79,48,10,-3.103
3,24,4,Tee Higgins,WR,17,CIN,6,36.5,43.7,1.0,221,30,84,23,26,85,6,-3.114
4,37,1,Tee Higgins,WR,17,CIN,6,36.5,43.7,0.99,221,30,84,23,26,85,6,-3.179
4,37,2,Ladd McConkey,WR,18,LAC,7,39.4,43.0,0.88,214,23,74,3,25,85,25,-3.25
4,37,3,Colston Loveland,TE,3,CHI,10,39.1,45.4,0.74,200,29,96,16,19,75,30,-3.341
4,37,4,Tetairoa McMillan,WR,19,CAR,5,40.3,38.9,0.71,222,31,42,4,1,29,21,-3.388
5,44,1,Luther Burden III,WR,23,CHI,10,50.7,64.5,1.0,200,9,98,14,35,85,9,-3.436
5,44,2,Colston Loveland,TE,3,CHI,10,39.1,45.4,0.54,200,29,96,16,19,75,30,-3.474
5,44,3,Tyler Warren,TE,4,IND,13,54.0,55.4,0.9,194,23,87,10,27,63,3,-3.54
5,44,4,Terry McLaurin,WR,24,WAS,7,51.6,55.8,0.99,215,24,35,39,0,56,23,-3.651
6,57,1,Jaylen Warren,RB,26,PIT,9,71.6,76.7,1.0,183,-1,18,17,35,45,1,-3.525
6,57,2,TreVeyon Henderson,RB,25,NE,11,63.5,70.6,0.98,176,-8,79,67,20,46,26,-3.635
6,57,3,Bhayshul Tuten,RB,23,JAX,7,58.6,58.6,0.43,181,-3,78,65,45,85,4,-3.654
6,57,4,Jadarian Price,RB,24,SEA,11,62.9,67.5,0.68,170,-14,95,54,93,85,15,-3.712
7,64,1,TreVeyon Henderson,RB,25,NE,11,63.5,70.6,0.89,176,-8,79,67,20,46,26,-3.813
7,64,2,J.K. Dobbins,RB,33,DEN,10,94.9,100.5,1.0,160,-24,23,26,16,54,7,-3.883
7,64,3,Jadarian Price,RB,24,SEA,11,62.9,67.5,0.43,170,-14,95,54,93,85,15,-3.917
7,64,4,Kyle Monangai,RB,37,CHI,10,109.5,115.8,1.0,148,-36,88,23,18,80,16,-3.931
8,77,1,Justin Herbert,QB,9,LAC,7,80.1,89.5,0.75,281,-2,92,2,8,77,17,-3.86
8,77,2,J.K. Dobbins,RB,33,DEN,10,94.9,100.5,0.99,160,-24,23,26,16,54,7,-4.004
8,77,3,Kyle Monangai,RB,37,CHI,10,109.5,115.8,1.0,148,-36,88,23,18,80,16,-4.037
8,77,4,Trevor Lawrence,QB,10,JAX,7,90.7,95.4,0.99,286,3,75,5,58,49,4,-4.112
9,84,1,J.K. Dobbins,RB,33,DEN,10,94.9,100.5,0.94,160,-24,23,26,16,54,7,-4.037
9,84,2,Kyle Monangai,RB,37,CHI,10,109.5,115.8,0.98,148,-36,88,23,18,80,16,-4.046
9,84,3,Blake Corum,RB,35,LAR,11,102.2,119.2,0.98,128,-56,97,41,48,85,22,-4.147
9,84,4,Jacory Croskey-Merritt,RB,38,WAS,7,109.9,123.6,1.0,138,-46,90,20,34,43,31,-4.177
10,97,1,Kyle Monangai,RB,37,CHI,10,109.5,115.8,0.9,148,-36,88,23,18,80,16,-4.09
10,97,2,Jake Ferguson,TE,13,DAL,14,123.8,118.0,0.9,161,-10,16,1,21,51,18,-4.116
10,97,3,Blake Corum,RB,35,LAR,11,102.2,119.2,0.89,128,-56,97,41,48,85,22,-4.181
10,97,4,Jacory Croskey-Merritt,RB,38,WAS,7,109.9,123.6,0.99,138,-46,90,20,34,43,31,-4.202
11,104,1,Jake Ferguson,TE,13,DAL,14,123.8,118.0,0.62,161,-10,16,1,21,51,18,-4.041
11,104,2,Juwan Johnson,TE,16,NO,8,144.1,151.9,1.0,146,-25,44,19,4,22,8,-4.1
11,104,3,Dalton Kincaid,TE,11,BUF,7,115.6,129.7,0.83,154,-17,90,59,81,71,7,-4.219
11,104,4,Blake Corum,RB,35,LAR,11,102.2,119.2,0.81,128,-56,97,41,48,85,22,-4.221
12,117,1,Jordan Mason,RB,40,MIN,6,111.7,125.0,0.83,141,-43,89,34,60,69,2,-4.337
12,117,2,Jacory Croskey-Merritt,RB,38,WAS,7,109.9,123.6,0.86,138,-46,90,20,34,43,31,-4.339
12,117,3,Dylan Sampson,RB,50,CLE,11,162.9,166.3,0.99,96,-88,48,7,4,44,3,-4.354
12,117,4,Blake Corum,RB,35,LAR,11,102.2,119.2,0.49,128,-56,97,41,48,85,22,-4.355
