round,pick,slot,player,pos,pos_rank,team,bye,composite,adp,p_available,proj,vbd,boom,bust,risk,situation,playoff_sos_rank,score
2,17,1,Omarion Hampton,RB,9,LAC,7,18.1,19.3,0.46,232,48,98,79,66,85,13,-2.459
2,17,2,Kenneth Walker III,RB,10,KC,5,18.5,22.0,0.95,236,52,93,83,85,70,27,-2.504
2,17,3,Nico Collins,WR,9,HOU,8,20.0,23.7,1.0,248,57,75,13,51,74,26,-2.807
2,17,4,A.J. Brown,WR,8,NE,11,18.1,19.9,0.91,246,55,81,76,77,78,29,-2.871
3,24,1,Kenneth Walker III,RB,10,KC,5,18.5,22.0,0.46,236,52,93,83,85,70,27,-2.818
3,24,2,Brock Bowers,TE,1,LV,13,20.8,26.3,0.51,231,60,93,47,79,48,10,-2.946
3,24,3,Nico Collins,WR,9,HOU,8,20.0,23.7,0.51,248,57,75,13,51,74,26,-3.06
3,24,4,DeVonta Smith,WR,14,PHI,10,30.1,33.4,1.0,227,36,95,17,37,85,30,-3.106
4,37,1,Tee Higgins,WR,17,CIN,6,36.5,43.7,0.99,221,30,84,23,26,85,6,-2.967
4,37,2,Emeka Egbuka,WR,20,TB,10,40.9,41.7,0.84,224,33,89,18,48,78,11,-3.119
4,37,3,Ladd McConkey,WR,18,LAC,7,39.4,43.0,0.88,214,23,74,3,25,85,25,-3.146
4,37,4,Jaylen Waddle,WR,21,DEN,10,41.0,48.0,0.98,208,17,85,50,70,85,14,-3.151
5,44,1,Luther Burden III,WR,23,CHI,10,50.7,64.5,1.0,200,9,98,14,35,85,9,-3.266
5,44,2,Jaylen Waddle,WR,21,DEN,10,41.0,48.0,0.78,208,17,85,50,70,85,14,-3.355
5,44,3,Colston Loveland,TE,3,CHI,10,39.1,45.4,0.54,200,29,96,16,19,75,30,-3.546
5,44,4,Jameson Williams,WR,25,DET,6,52.2,58.0,1.0,207,16,70,46,31,64,20,-3.587
6,57,1,Christian Watson,WR,28,GB,11,58.2,74.9,1.0,187,-4,90,85,74,68,19,-3.77
6,57,2,Parker Washington,WR,30,JAX,7,67.9,78.4,1.0,189,-2,91,64,83,62,7,-3.83
6,57,3,Jameson Williams,WR,25,DET,6,52.2,58.0,0.71,207,16,70,46,31,64,20,-3.886
6,57,4,Mike Evans,WR,27,SF,8,57.9,71.7,1.0,192,1,88,100,90,62,32,-3.906
7,64,1,Tucker Kraft,TE,5,GB,11,75.2,88.8,0.92,171,0,99,61,96,68,12,-3.959
7,64,2,Justin Herbert,QB,9,LAC,7,80.1,89.5,0.94,281,-2,92,2,8,77,17,-4.008
7,64,3,Parker Washington,WR,30,JAX,7,67.9,78.4,0.98,189,-2,91,64,83,62,7,-4.011
7,64,4,Jadarian Price,RB,24,SEA,11,62.9,67.5,0.43,170,-14,95,54,93,85,15,-4.045
8,77,1,Justin Herbert,QB,9,LAC,7,80.1,89.5,0.75,281,-2,92,2,8,77,17,-3.92
8,77,2,Trevor Lawrence,QB,10,JAX,7,90.7,95.4,0.99,286,3,75,5,58,49,4,-4.115
8,77,3,Caleb Williams,QB,8,CHI,10,79.0,84.6,0.86,279,-4,88,55,55,58,20,-4.136
8,77,4,Parker Washington,WR,30,JAX,7,67.9,78.4,0.58,189,-2,91,64,83,62,7,-4.185
9,84,1,RJ Harvey,RB,34,DEN,10,95.9,110.7,0.99,155,-29,99,64,57,85,7,-4.251
9,84,2,Chris Godwin Jr.,WR,36,TB,10,87.4,103.3,1.0,170,-21,96,84,60,78,11,-4.27
9,84,3,Brian Thomas Jr.,WR,34,JAX,7,78.1,94.6,0.99,180,-11,83,91,34,31,7,-4.313
9,84,4,Blake Corum,RB,35,LAR,11,102.2,119.2,0.98,128,-56,97,41,48,85,22,-4.317
10,97,1,Blake Corum,RB,35,LAR,11,102.2,119.2,0.89,128,-56,97,41,48,85,22,-4.351
10,97,2,Chris Godwin Jr.,WR,36,TB,10,87.4,103.3,0.96,170,-21,96,84,60,78,11,-4.385
10,97,3,KC Concepcion,WR,49,CLE,11,113.9,133.6,1.0,138,-53,100,58,79,68,2,-4.39
10,97,4,Quentin Johnston,WR,43,LAC,7,99.0,114.6,0.98,166,-25,94,47,49,81,25,-4.39
11,104,1,KC Concepcion,WR,49,CLE,11,113.9,133.6,1.0,138,-53,100,58,79,68,2,-4.405
11,104,2,Quentin Johnston,WR,43,LAC,7,99.0,114.6,0.97,166,-25,94,47,49,81,25,-4.446
11,104,3,Jayden Reed,WR,40,GB,11,94.9,119.4,1.0,170,-21,73,41,56,68,19,-4.474
11,104,4,Chris Godwin Jr.,WR,36,TB,10,87.4,103.3,0.91,170,-21,96,84,60,78,11,-4.483
12,117,1,Makai Lemon,WR,46,PHI,10,106.2,127.9,0.81,145,-46,99,72,63,85,30,-4.581
12,117,2,Quentin Johnston,WR,43,LAC,7,99.0,114.6,0.82,166,-25,94,47,49,81,25,-4.605
12,117,3,Jayden Reed,WR,40,GB,11,94.9,119.4,0.97,170,-21,73,41,56,68,19,-4.607
12,117,4,Chris Godwin Jr.,WR,36,TB,10,87.4,103.3,0.59,170,-21,96,84,60,78,11,-4.64
